complexity,industry,business_description,domain
1,tech,A AI consultancy in Paris.,quantumAiparis.io
2,tech,"A AI consultancy in Paris, specializing in penetration testing.",ai-consultancy-paris.ai
3,tech,"A AI consultancy located in Paris that offers edge computing, targets millennials, and emphasizes eco-friendly ethos.",ai-consultancy-paris.io
1,tech,A AI consultancy in London.,ai-consultancy-london.ai
2,tech,"A AI consultancy in London, specializing in penetration testing.",quantumconsultancylondon.ai
3,tech,"A AI consultancy located in London that offers AI-driven analytics, targets millennials, and emphasizes luxury experience.",secureconsultancylondon.io
1,tech,A AI consultancy in Berlin.,ai-consultancy-berlin.ai
2,tech,"A AI consultancy in Berlin, specializing in cloud migrations.",edgeAiberlin.tech
3,tech,"A AI consultancy located in Berlin that offers edge computing, targets students, and emphasizes eco-friendly ethos.",edgeconsultancyberlin.com
1,tech,A AI consultancy in Tokyo.,aiconsultancytokyo.tech
2,tech,"A AI consultancy in Tokyo, specializing in cloud migrations.",aiconsultancytokyo.tech
3,tech,"A AI consultancy located in Tokyo that offers AI-driven analytics, targets millennials, and emphasizes luxury experience.",ai-consultancy-tokyo.ai
1,tech,A AI consultancy in New York.,quantumAinew york.ai
2,tech,"A AI consultancy in New York, specializing in AI-driven analytics.",scalableAinew york.net
3,tech,"A AI consultancy located in New York that offers cloud migrations, targets students, and emphasizes financial empowerment.",aiconsultancynew york.ai
1,tech,A AI consultancy in Rome.,secureconsultancyrome.tech
2,tech,"A AI consultancy in Rome, specializing in AI-driven analytics.",ai-consultancy-rome.tech
3,tech,"A AI consultancy located in Rome that offers AI-driven analytics, targets health-conscious clients, and emphasizes community focus.",ai-consultancy-rome.io
1,tech,A AI consultancy in Sydney.,aiconsultancysydney.tech
2,tech,"A AI consultancy in Sydney, specializing in edge computing.",quantumconsultancysydney.io
3,tech,"A AI consultancy located in Sydney that offers penetration testing, targets high-net-worth individuals, and emphasizes educational excellence.",scalableAisydney.ai
1,tech,A AI consultancy in Toronto.,quantumAitoronto.io
